revenue,profit,balance,transactions,loan_amount,default
493592,143826,275093,160,122359,0
758140,93197,494963,119,72145,0
571891,76400,156723,44,283449,0
916108,127512,330397,50,130097,0
284082,167622,324859,86,183318,0
499115,27360,60825,207,167352,0
685913,167054,459711,257,193778,0
516072,179808,69098,222,73127,0
527114,-29477,98714,125,127668,1
921067,20694,455541,263,93984,0
109488,11952,401993,52,117087,1
316704,68856,440587,109,269130,0
269803,96960,318706,175,284897,0
350548,168888,290992,291,77153,0
767072,68505,352050,185,236154,0
555217,42239,187748,234,137050,0
126782,155506,69072,108,233707,1
657777,151883,54834,145,272206,0
582315,136687,434297,119,190242,0
640750,60656,290076,192,292399,0
244455,13988,399617,191,51939,0
565157,-16294,474822,278,291734,1
246121,185181,495795,58,261578,0
278294,-40642,128771,289,81108,1
718759,19366,498834,138,264935,0
226033,114284,215114,28,232759,0
800234,57052,341638,135,217445,0
737045,-26302,256343,198,110143,1
445554,3888,151568,169,277782,0
363925,-12426,471716,271,123486,1
827578,172886,56822,259,134771,0
328878,-21821,433965,135,129010,1
349926,-22312,412445,87,155398,1
642263,-35139,277535,72,87289,1
124521,-11897,281101,245,107857,1
515987,26429,413908,210,145183,0
394932,10258,349906,98,217784,0
477387,92038,358432,263,122307,0
946683,144043,389724,268,184956,0
698903,5650,464225,229,204333,0
480898,70371,28494,20,127831,0
900764,167396,168791,287,73670,0
890986,-14353,420225,300,178914,1
498532,-12052,33103,47,226336,1
971352,118846,71789,117,77212,0
103133,158018,282453,121,66303,1
461114,96936,106286,240,103516,0
148067,155974,482705,141,294301,1
205497,98492,297594,169,227676,0
582287,72212,381724,257,279500,0
309073,39263,453545,262,87727,0
478534,178290,43794,263,153580,0
817684,-22047,449043,219,142480,1
263219,-32893,306263,203,74226,1
605118,53587,60647,81,292841,0
195126,60748,475679,116,274977,1
424347,-21515,40352,39,144020,1
560966,-7899,274587,124,287702,1
418468,199166,386729,258,252697,0
568853,112406,449106,43,146386,0
296377,44269,342637,21,51958,0
278474,-36920,424457,179,172858,1
198222,136704,40532,159,279983,1
108404,192553,349378,148,255588,1
909956,136644,188683,75,192676,0
989221,181550,180896,23,179074,0
793821,105405,33050,49,110130,0
324608,-30878,380416,72,165678,1
798634,33990,455688,278,238679,0
775041,-31293,249018,278,279352,1
583777,197409,61922,122,187417,0
762421,-43118,379717,269,128231,1
341304,86655,471108,143,50279,0
951258,1014,431410,85,84441,0
595168,57481,383870,241,96616,0
347210,91706,342940,86,290265,0
232950,5795,26154,170,193362,0
894241,171455,324504,40,192772,0
842335,132078,225436,71,196714,0
651139,43938,56326,88,51763,0
233197,84175,134135,246,75875,0
482549,120033,356855,262,119206,0
361295,-49441,378169,221,262664,1
638601,39768,202293,290,75600,0
740304,-29379,69378,171,218244,1
380696,194638,248497,235,152324,0
966584,141926,189900,201,181532,0
165639,-20428,281948,294,167997,1
597138,-44394,135440,154,255093,1
477070,-13632,459129,139,50039,1
532910,148622,25299,188,117557,0
794284,-11620,72915,43,288251,1
660603,-5389,127038,183,124682,1
142778,76692,98279,113,125869,1
978498,176685,484089,85,91051,0
751125,8285,398201,281,277047,0
675947,-14450,61090,272,142740,1
717509,139543,109943,163,294675,0
614116,180798,342176,249,180233,0
946027,18501,414073,122,280364,0
696904,-857,214611,80,144912,1
240558,73251,234570,294,128792,0
466148,-28798,253241,137,206616,1
782029,179652,428695,167,92008,0
610795,6420,70110,257,223889,0
429198,-17788,22607,140,154348,1
577705,115019,254085,30,295416,0
261682,121536,189448,26,99785,0
493238,156512,348485,55,221613,0
677383,-428,64411,211,188144,1
643416,33176,91995,259,75306,0
743078,47553,283920,215,110563,0
624072,149301,80364,189,258136,0
125072,63475,266157,198,150369,1
834213,109084,264096,238,141438,0
487070,192926,453041,141,299569,0
466541,55476,404106,34,190213,0
691674,101255,224864,28,54429,0
998339,80892,136378,170,227335,0
831679,-17501,31591,220,265155,1
826016,172379,451855,300,173971,0
479647,158743,46416,176,297053,0
798230,172537,450630,31,252489,0
766627,109109,195913,161,114025,0
994611,-38215,304543,234,146066,1
971695,-28328,350117,260,230266,1
695434,85686,75538,220,102136,0
222291,68287,103810,47,238025,0
284730,51812,366967,153,125491,0
979175,86066,270195,193,296760,0
378882,59914,340344,180,230213,0
515388,191212,46993,83,181433,0
228801,145954,161939,155,243726,0
125707,193536,327108,93,135442,1
357832,-35313,226998,53,95960,1
780900,-12479,104643,251,108187,1
343231,45145,72378,205,224140,0
668297,-12416,174280,94,117831,1
372003,150720,342431,62,92318,0
403455,-42972,25572,145,279745,1
902934,58477,55177,226,232963,0
116222,-44843,448191,74,254930,1
490605,178058,243507,270,126541,0
326169,18224,284480,214,91706,0
175164,94150,384853,41,257601,1
199903,-25540,492804,168,125321,1
747311,38914,238799,80,74926,0
887877,36230,444139,144,254485,0
802334,157568,370467,22,229003,0
359928,107629,317094,172,155503,0
632216,-16626,172926,147,106479,1
198500,162201,213531,101,254207,1
653789,78734,324363,24,214981,0
606000,-23225,488086,250,172710,1
693497,100318,320727,69,187247,0
921120,197533,30336,127,289487,0
960826,124276,477695,148,69130,0
583193,143706,77493,99,299504,0
530659,-34129,496541,47,112217,1
373224,39717,316601,77,123724,0
899229,174294,295198,207,116133,0
215847,100349,132182,82,98948,0
835715,17914,254693,24,201527,0
246583,103405,362091,97,60818,0
594437,-36033,261107,269,260491,1
903571,86461,323178,44,220540,0
930513,-5731,308597,282,170152,1
480938,-37207,56392,246,175292,1
242864,174131,420430,249,240807,0
250412,37233,343765,298,265022,0
299441,72441,271899,155,289204,0
685496,-23686,163726,236,121871,1
588869,38131,197292,140,208756,0
440765,24527,304689,173,278038,0
872630,88229,249041,39,76649,0
485667,-18446,490435,150,213045,1
303459,34938,451723,289,293394,0
426572,101571,42246,92,108385,0
856483,30216,498061,257,222750,0
584196,-30126,446095,149,67380,1
929540,-36893,244945,225,123003,1
154275,176039,132345,75,92831,1
891842,157881,308167,20,68703,0
703592,76121,238717,288,246770,0
883160,183264,385976,92,119949,0
373804,145162,468517,169,90003,0
822450,124312,42616,142,290910,0
641843,-26625,97992,174,231788,1
801179,151109,421712,98,70597,0
162819,45804,194644,261,266957,1
253314,183996,482276,196,102492,0
869349,-19167,71664,259,181856,1
422887,93839,233088,169,87953,0
905700,324,309905,195,269376,0
559247,17767,225664,102,173072,0
584518,12350,26100,46,243866,0
195619,105202,86680,232,282062,1
948223,115840,219614,228,204231,0
968790,8256,73430,96,237568,0
324068,162046,313380,27,73344,0
574287,17456,274187,98,232004,0
637440,40860,441945,128,269974,0
384273,49777,48379,203,118904,0
399463,185007,242386,113,107869,0
144487,-45050,341952,62,298896,1
324680,38214,350459,132,259219,0
962009,-222,293325,150,246401,1
534818,90967,440723,222,171699,0
845497,4812,112348,154,232420,0
171567,192503,130983,199,265907,1
170618,124880,496994,32,251877,1
928096,192934,153181,188,295379,0
367129,41995,67884,83,82506,0
562884,-19652,339999,108,68749,1
347238,5790,215448,253,206071,0
448869,104777,487817,238,54343,0
126620,102806,203291,57,223506,1
191252,198223,372624,26,97008,1
694866,31281,170138,167,102842,0
587537,176782,230021,173,201636,0
413917,47436,336503,218,79704,0
694060,-37208,50066,48,293842,1
703768,59720,488771,173,250328,0
458413,91721,416429,125,84510,0
788187,-23595,344606,114,258104,1
924206,-36731,121099,292,188483,1
681512,-30972,69653,81,194044,1
302740,83779,242022,92,142135,0
636223,-48592,471777,161,250041,1
376811,78904,41086,116,250675,0
142998,89906,489225,106,296144,1
297365,193460,166418,37,78917,0
594170,-20137,232752,184,171856,1
284739,-2551,306903,181,223906,1
990897,190240,82593,23,248445,0
689703,57278,364422,190,213230,0
516683,-21205,372740,168,273395,1
715906,28449,153072,121,77027,0
284217,23136,107573,276,242516,0
605673,-36403,146648,38,227713,1
219595,35328,23599,294,69816,0
286315,66632,234439,245,288316,0
449143,191455,172639,213,195609,0
547931,102037,432140,58,90030,0
766496,117894,472769,170,296758,0
780331,139803,187540,215,166467,0
936547,142885,60166,263,58497,0
731398,9352,332919,53,266501,0
898919,76048,23731,41,272443,0
159030,19509,405245,118,279652,1
181373,100716,115494,182,260499,1
152400,120551,391184,143,128319,1
236683,131018,346251,31,134978,0
579612,117822,93290,299,150806,0
876169,124888,114516,99,182109,0
568265,5436,409378,239,189974,0
128632,23919,331680,183,206717,1
103466,35622,121371,83,163090,1
928567,55210,259346,208,271262,0
739827,20239,118432,70,239947,0
544956,-41112,227291,161,254062,1
457249,26611,233545,275,102277,0
239996,189883,421480,134,165953,0
745821,132621,292205,115,74230,0
100716,-31836,40215,277,145708,1
342795,109540,102892,144,120165,0
771955,67767,197874,60,106124,0
758820,47107,474099,214,189924,0
303096,65670,50695,149,135232,0
878144,157690,378992,106,171024,0
774453,136505,467123,234,218113,0
381004,30365,167323,262,149012,0
577645,11419,402436,165,150931,0
147640,117832,20628,261,166162,1
899131,111871,446807,191,107528,0
758342,115369,344199,92,239995,0
430006,93594,78080,291,280043,0
752207,18470,102731,58,145569,0
931005,80445,53084,233,148311,0
246305,33553,416683,202,282187,0
889301,15789,312590,213,218649,0
955849,-954,135347,75,165686,1
343343,137957,187654,24,135366,0
767520,108767,177661,215,63103,0
731309,160211,100470,292,218930,0
981411,141091,292421,102,63765,0
251234,45364,294717,120,55222,0
234741,76170,101694,77,252873,0
475816,120029,422707,47,133047,0
997197,-25651,126727,200,276533,1
791162,183647,329624,190,113707,0
514593,-45302,135598,220,132718,1
110955,-23399,491535,163,118023,1
321003,-30108,232397,132,99731,1
406720,151635,80824,38,63435,0
531193,122303,370497,52,191084,0
646082,-42397,247365,114,174449,1
758447,134527,111730,101,276041,0
371311,26210,239304,137,263680,0
520854,165109,306116,75,248787,0
965114,171338,326285,40,179522,0
801287,-16981,88959,290,130674,1
753067,-18377,482021,30,97772,1
589264,-21215,466934,32,134336,1
615271,136145,270486,46,188980,0
115083,189608,314911,208,181417,1
465290,115245,128961,24,227849,0
323395,118041,147359,168,209335,0
403420,-3968,273745,167,98105,1
894863,182790,162510,156,212425,0
928766,174007,474680,174,116532,0
408836,137533,494446,226,227616,0
581277,61976,365505,123,290064,0
877027,176935,401734,60,207201,0
598672,131515,26724,150,255378,0
771623,57394,321955,98,242807,0
632508,128032,25162,196,289264,0
238841,76618,30228,34,131147,0
412082,194294,276527,253,264671,0
102657,-28319,290347,20,143783,1
363049,113839,129069,169,182079,0
519133,28639,424015,180,211513,0
466700,90163,62368,66,237415,0
705177,100315,452898,31,172647,0
633354,41333,484383,82,81100,0
211705,115440,207578,60,172726,0
543311,144933,160963,139,228507,0
979226,18495,213160,284,262085,0
823579,142720,479033,52,90985,0
415768,-40220,64515,251,171805,1
166236,154342,457058,211,264781,1
613510,147737,237386,118,253377,0
453149,52428,233061,41,268177,0
524944,-28562,168137,278,139842,1
971444,-49392,300718,239,274348,1
902166,134373,391651,197,50712,0
323561,50396,441077,281,134471,0
188391,185244,355102,156,130499,1
910494,22973,187012,106,173060,0
960067,144592,27648,163,220998,0
169322,58796,233861,148,145380,1
157763,196627,144389,159,99536,1
439856,184365,250741,238,97130,0
957251,-6426,289074,206,178522,1
450725,162504,109449,85,178208,0
577696,183174,172314,61,267254,0
460596,-35371,120393,238,79875,1
699762,128444,364724,174,123975,0
795832,25778,33593,263,266971,0
844886,-17285,256383,30,95871,1
587927,2892,103727,236,57232,0
232473,142986,440155,58,186084,0
265034,81462,108310,234,251014,0
499057,141370,107934,154,176527,0
716073,186135,239867,255,251861,0
732126,-23061,264967,158,54668,1
471243,10607,346978,43,253414,0
235507,-10875,214681,22,297473,1
416429,92511,31479,207,195292,0
705037,153217,446254,72,105290,0
939618,79902,262042,282,281181,0
120659,56601,155275,102,231620,1
755566,106981,326898,184,177186,0
271641,26474,138018,231,289414,0
425767,9446,485733,258,230224,0
222435,-19041,435908,170,237879,1
631340,78220,27606,122,276756,0
489861,124970,281967,142,135652,0
666780,114120,137039,69,147494,0
283316,173763,293250,114,83755,0
861568,134712,422708,93,267596,0
189762,174091,326741,292,220485,1
209625,157390,158977,38,241822,0
997789,80692,157206,22,250655,0
530391,141980,96211,105,222581,0
850171,107954,129885,144,181387,0
243939,76845,434142,144,270598,0
351897,-28432,225891,138,146596,1
871712,48663,109810,281,182027,0
480239,16952,193683,242,109365,0
696631,37240,411671,75,86038,0
424280,-17539,268862,25,136598,1
798338,115122,401574,48,112219,0
502396,1031,199495,30,293890,0
594051,84661,479646,222,169395,0
633681,169895,466263,266,229164,0
290835,40521,55301,93,163730,0
759674,163757,136746,128,157184,0
313726,74314,54372,51,185451,0
141282,3800,321528,291,206031,1
776969,90093,400981,293,246382,0
501371,89419,407361,188,284254,0
252315,107238,238117,63,221611,0
151468,152884,144625,99,199465,1
896156,-12979,463787,237,243120,1
329128,196472,40729,139,92958,0
343995,31914,24276,72,257283,0
660887,125273,435667,231,90897,0
127543,155894,58146,116,81005,1
741439,4317,233353,39,158033,0
765246,97044,303092,87,53044,0
339152,34699,87513,203,144608,0
745232,16865,366335,204,247501,0
678698,-23243,61111,134,109782,1
102238,38556,28456,64,63627,1
656003,142329,290235,26,166160,0
436996,71856,128466,37,264235,0
824025,124875,419919,150,147940,0
714265,-12126,21722,218,188163,1
697080,-46945,62428,80,109270,1
319145,143807,57904,142,70565,0
470584,21391,70498,285,94739,0
554965,81537,362355,209,141827,0
130284,-30263,131303,96,116031,1
115606,70380,22400,57,141634,1
675961,77809,92630,169,69187,0
874014,18723,140227,167,77625,0
471776,19359,257322,260,281588,0
197996,47944,404354,111,271878,1
194240,59746,269416,192,64437,1
422316,178559,425111,134,80546,0
448422,37720,198790,226,67105,0
889900,156457,245016,225,123175,0
196228,121942,437731,177,236102,1
485217,-16634,179405,237,176403,1
110070,1720,311673,106,154080,1
273288,2310,142557,142,284984,0
110805,-9828,336432,277,88735,1
436169,188349,419732,175,181618,0
924439,164540,484479,277,228113,0
175944,-7880,270351,112,163618,1
404973,139873,240453,259,226674,0
563609,-41143,110106,270,238386,1
126500,-22312,99071,272,271686,1
218988,108694,171281,266,93048,0
761089,15816,359628,220,261363,0
285911,61291,262944,289,185984,0
259240,72001,118804,182,248940,0
936063,26193,63256,95,204525,0
378639,21638,436341,187,127327,0
909294,123841,498529,108,114703,0
750744,107497,326454,158,186158,0
914567,-9666,455464,300,93600,1
906058,129840,69950,189,78976,0
797333,30224,450381,243,80978,0
596230,63023,111351,211,223452,0
894846,97467,74401,48,130602,0
304810,49328,444110,152,141995,0
550145,152719,145658,69,87977,0
256492,89768,170740,189,267049,0
932909,44391,463885,39,259695,0
758251,119173,461085,180,282065,0
101206,-4382,431267,185,203582,1
870977,28543,413784,88,95751,0
542104,-43791,260833,142,120259,1
378597,-21175,395286,179,196526,1
757921,110153,243678,182,218380,0
626137,15278,126038,196,298922,0
791266,25514,62961,128,120544,0
547660,102833,142778,192,221935,0
479556,132824,169809,150,195016,0
227803,-29166,347228,202,249310,1
977875,137986,345473,154,165969,0
629096,94429,418041,216,183227,0
928957,77417,125146,54,191001,0
872346,65728,44592,79,299160,0
747285,-2242,481157,167,141163,1
675459,76272,147207,48,181712,0
709881,52225,70227,226,57132,0
249795,54138,61822,93,277135,0
696058,96712,281339,174,297787,0
573038,54370,86784,37,161745,0
867053,4523,339460,264,266161,0
913223,32966,291474,79,249988,0
524377,18476,281213,34,65444,0
198888,118052,449347,42,247780,1
254434,-33585,46509,122,208027,1
827869,26643,411881,235,261672,0
310452,132933,451602,218,91670,0
889031,19053,453343,151,197777,0
475568,-20091,323749,89,87120,1
149187,22200,79666,293,164631,1
695345,12731,199162,63,87144,0
166794,44053,37250,127,81072,1
437548,32503,272628,168,92105,0
253114,3874,374287,253,295221,0
876812,195782,278336,228,206406,0
966558,84181,248664,83,218163,0
400144,-42553,266745,39,109037,1
937764,78174,163214,25,158285,0
871115,131085,419320,267,81408,0
966474,179297,280259,122,194678,0
604604,49528,161937,196,261212,0
106591,144659,185612,26,212682,1
562629,-348,126271,181,133581,1
279397,55577,234650,175,159403,0
947568,183355,139987,283,160938,0
629211,89951,343760,113,63348,0
610267,-6961,418534,105,133809,1
365780,137720,136449,95,235612,0
915762,77724,339982,96,117011,0
244977,138450,284848,98,98699,0
553673,-35996,182173,83,157464,1
752205,122750,177661,138,168602,0
293936,164684,77512,175,96588,0
124206,-26839,59143,227,205397,1
953888,172212,56918,241,219028,0
966446,97307,170755,61,198924,0
750542,122799,36052,73,290430,0
158295,108451,438189,181,214910,1
171488,-41213,447616,204,247254,1
909908,101196,323964,80,158902,0
428589,145091,295410,246,69566,0
737666,104165,204244,153,100038,0
119599,-44206,272113,289,93074,1
606396,92045,197773,94,169739,0
327822,183134,456757,136,161699,0
529657,108444,260984,24,126430,0
431058,174531,357925,42,298539,0
156014,163491,419679,119,151212,1
208284,49244,221186,77,188519,0
539435,86634,338206,296,101385,0
174818,72890,149708,299,119168,1
514541,54184,80249,291,220422,0
336409,-20304,406564,78,259568,1
741174,142481,465308,95,138307,0
894769,116901,45978,112,62457,0
968378,142800,431254,264,142565,0
799867,74625,309695,120,127874,0
362326,30578,327905,117,177238,0
486246,20576,399778,145,154107,0
641335,60138,405726,274,288923,0
415471,-9842,425988,153,182724,1
625570,139762,329302,140,192834,0
958065,109978,115253,81,140683,0
341851,154966,48444,268,128172,0
603980,128442,336482,93,119875,0
691595,60751,264157,44,114479,0
745742,9576,443136,120,299836,0
804489,166063,131292,148,172483,0
972585,20622,434353,191,171582,0
795824,181008,238591,78,153748,0
584757,29479,120942,161,176412,0
755701,148976,60334,164,123144,0
357711,50584,324982,171,172053,0
357444,114341,487945,123,111492,0
907897,-11176,459621,276,127039,1
446578,97305,103086,26,191110,0
732360,33536,245714,32,271373,0
747894,-40092,32369,259,163751,1
590867,141850,24866,95,259404,0
619460,129888,375603,300,223192,0
848459,138530,88468,237,297646,0
505417,89499,217400,280,127202,0
632337,13146,317090,270,149216,0
530624,-8999,372825,41,124206,1
240871,135926,182858,45,299684,0
475516,45330,295396,35,282260,0
898394,96672,84264,150,112175,0
374912,-2070,164779,287,71188,1
287788,155079,110739,36,93762,0
867037,128392,461824,33,281883,0
576527,89757,428326,81,100260,0
399154,197830,289368,155,54509,0
211267,192549,350967,112,190850,0
532547,42898,469653,168,149623,0
693689,-47916,461302,244,260621,1
919432,129647,92984,139,265353,0
442410,60077,151798,298,245934,0
619655,180861,140029,122,142244,0
306460,110272,242415,168,72570,0
125021,98713,379497,268,53395,1
241132,55087,237421,243,61452,0
612286,119780,69228,31,294535,0
344230,-30908,254203,288,161509,1
626313,174053,43111,242,150198,0
257778,194793,347767,114,186264,0
629363,-13444,56778,125,93219,1
640008,99207,210095,196,105552,0
525905,-24704,150281,144,85523,1
390407,37220,142856,34,223073,0
578779,98683,490072,295,271338,0
564574,94228,410264,76,149148,0
580658,18716,371255,241,295714,0
816193,143567,464080,169,209125,0
679357,153482,351755,124,208070,0
153750,193226,147066,295,122217,1
417441,-41789,312406,144,79883,1
936846,190769,56513,215,190327,0
395105,107433,373970,200,231202,0
183173,130375,484730,248,90172,1
922828,32986,21116,91,84359,0
217270,142013,38945,116,109189,0
321750,128263,141578,228,231860,0
932664,8802,262879,263,276187,0
559129,117913,43410,179,197001,0
980430,108174,127907,97,277432,0
451892,-40537,217631,221,124509,1
422282,3085,274813,122,124041,0
533237,57895,275328,287,219933,0
274460,19763,296108,281,126880,0
608532,69932,24066,239,215955,0
279764,85403,256417,239,137020,0
711756,-36599,134690,298,60352,1
867243,-49542,455320,90,248122,1
521879,163281,444960,153,293004,0
513829,126799,418547,250,244381,0
426087,153587,111242,172,293213,0
968318,148070,347721,282,258143,0
463728,150321,368174,299,276609,0
112418,-46159,387817,263,189212,1
193767,24274,144281,288,79325,1
730695,108681,329805,229,247813,0
679445,1274,331197,82,183320,0
308106,89419,58829,140,139215,0
157716,-12049,22832,206,72886,1
449626,28380,243513,198,254740,0
378717,106647,169062,189,131900,0
292631,40569,124294,252,207132,0
250595,169026,30442,113,290651,0
703922,-14930,151768,242,294047,1
503323,131410,263635,137,144919,0
336001,125351,423769,181,189020,0
293677,179364,279617,253,272566,0
323398,143273,172889,212,52767,0
288749,137956,49881,177,90671,0
651965,-22725,174259,271,67741,1
244402,72759,130925,117,284306,0
655547,161863,455019,156,98154,0
357888,-21026,293387,49,231889,1
685251,92028,98338,53,269305,0
958662,-19489,353535,165,216425,1
809436,-40143,322138,224,201601,1
542810,47610,48061,125,186455,0
350484,60902,412619,149,236978,0
898064,73077,244937,23,229429,0
200799,179213,212078,141,190744,0
366992,89769,429896,214,77430,0
991149,172247,341466,293,200652,0
503580,153102,463184,135,127571,0
359816,62632,188513,261,112184,0
328953,57550,206577,110,110069,0
998036,155949,202957,36,176944,0
822971,-42545,263264,137,81138,1
188141,56516,100570,239,174887,1
778870,81613,303422,30,87571,0
672804,98633,246229,159,252287,0
631940,59914,464429,163,248862,0
288675,-9399,376755,41,131164,1
563006,-34512,296607,125,172650,1
546076,116720,41357,124,111054,0
644654,61722,29124,282,91270,0
387853,36087,209493,119,55572,0
540110,-6217,68148,68,67474,1
877752,34995,121902,69,106484,0
168644,45150,28670,224,244137,1
315732,-18417,419367,279,79359,1
564097,-39875,151193,206,255927,1
220085,14766,479135,175,89669,0
102976,59382,374085,242,270733,1
845031,189805,69021,250,72058,0
150808,-37472,148440,277,284922,1
814751,140816,335160,233,249955,0
751034,-7246,168157,33,146907,1
176097,-21967,488346,107,214389,1
543805,112289,35921,110,109128,0
576756,105859,385062,68,51053,0
699873,1017,363722,190,284925,0
158094,144234,72304,27,166363,1
242420,160244,23427,282,58324,0
353601,178669,468396,207,58938,0
496052,167165,393031,211,51165,0
997489,147161,404748,186,61342,0
615321,87701,205256,81,69345,0
279053,164796,162072,243,90849,0
117347,45278,397671,159,115465,1
480608,92496,456077,282,171393,0
660308,182271,192771,133,141851,0
573680,-36812,50424,274,290495,1
381987,35478,465036,249,100688,0
557074,-2804,234697,139,54367,1
457650,91202,134276,65,170257,0
876533,117040,160887,102,64717,0
886141,-48920,114561,264,271578,1
140206,146570,350099,289,74611,1
668001,180233,60900,193,124298,0
616168,157499,425468,111,167126,0
368262,25917,318466,44,294584,0
451940,35520,153192,115,236000,0
237866,82711,436694,191,178427,0
981470,35429,126437,182,120961,0
319024,-10031,451155,254,292896,1
804207,11265,140164,169,84679,0
876377,-28727,24676,170,254599,1
410156,118459,248800,297,134759,0
813472,77066,198795,165,82059,0
130339,90965,383104,121,195529,1
634464,73843,262391,103,185888,0
952936,155852,293872,245,247931,0
233802,-48863,94808,123,106621,1
465036,-47924,68092,265,121711,1
118049,55533,454283,209,222691,1
227131,143492,106536,125,291055,0
367242,75165,140374,103,230061,0
966049,67008,198072,63,95840,0
452992,-49401,312261,152,287924,1
596072,190256,281014,227,172797,0
163994,161094,100671,164,55471,1
558382,131465,338151,218,291374,0
793605,17011,467974,225,258005,0
191010,-49436,103190,186,120785,1
605680,95697,52790,192,196093,0
986386,103562,329380,176,146105,0
846051,81721,22163,163,100283,0
214510,158452,82708,238,147754,0
934307,165227,58690,191,175205,0
122038,197392,259022,44,186828,1
